id,name,area,cats,hours,source,checked,note_hint
p44,Copenhagen Contemporary,Refshaleøen,museum,,,,
p18,Cork Vinbar,Frederiksberg,wine,,,,
p86,Curfew,Vesterbro,bar,,,,
p48,Danish Architecture Center,Indre By,museum,,,,
p2,Den Anden Side,Indre By,club,,,,
p43,Den Vandrette,Indre By,wine,,,,
p105,Department of Economics (KU),Indre By,other,,,,
p35,Det Lille Øresund,Vesterbro,bar,,,,
p45,Det Ny Teater,Vesterbro,stage,,,,
p100,Dosa Bar,Frederiksberg,restaurant,,,,
p19,Dropped pin (Frederiksberg),Frederiksberg,other,,,,
p104,Dropped pin (South Africa?),Out of town,other,,,,
p25,Dyssebroen,Christiania,sight,,,,
p90,Döner Corner,Vesterbro,street,,,,
p59,DØP Amagertorv,Indre By,street,,,,
p57,DØP Købmagergade,Indre By,street,,,,
p9,Edison-scenen,Frederiksberg,stage,,,,
p84,Falernum,Frederiksberg,wine,,,,
p71,Falkonersalen,Frederiksberg,jazz,,,,
p5,FAMO CARNE,Vesterbro,restaurant,,,,
p96,Frederik VI,Frederiksberg,bar,,,,
p106,Frederiksberg Chokolade,Frederiksberg,dessert shop,,,,
p47,Gaia Cocktails,Indre By,bar,,,,
p24,Gallerie Lorien,Frederiksberg,museum,,,,
p80,Gasoline Grill,Vesterbro,street,,,,
p58,Green Island CPH,Vesterbro,sight,,,,
p4,Hangaren,Refshaleøen,club,,,,
p83,Helge's Ost,Frederiksberg,shop,,,,
p110,Hvide Lam (White Lamb),Indre By,bar jazz,,,,"Cheap, open late (1 AM)"
p94,Iki Sushi,Frederiksberg,restaurant,,,,
p56,Isoteket Stefansgade,Nørrebro,dessert,,,,
p46,Isoteket Vesterbro,Vesterbro,dessert,,,,
p16,Issehoved,Out of town,trip,,,,
p26,Jazz Cup,Indre By,jazz,,,,
p111,Jazzhus Montmartre,Indre By,jazz,,,,Opens 6 pm; book ahead
p60,Kcal Frederiksberg,Frederiksberg,restaurant,,,,
p14,Kølsters Tolv Haner,Nørrebro,bar,,,,
p107,La Banchina,Refshaleøen,restaurant wine,,,,Gets busy; go early for a sunny pier spot
p81,La Fiesta Mexicana,Frederiksberg,restaurant,,,,
p41,La Fontaine,Indre By,jazz,,,,"Copenhagen's oldest jazz bar, late jam sessions"
p33,La Fromagerie,Østerbro,shop,,,,
p138,Lago,Nørrebro,wine restaurant,,,,"Natural wine bar & restaurant by the lakes — Tue–Sat from 4 PM, walk-ins"
p65,Loca's Loco,Frederiksberg,restaurant,,,,
p102,Louisiana Museum of Modern Art,Out of town,trip museum,,,,
p29,Melee,Frederiksberg,restaurant,,,,
p113,Mojo,Indre By,bar jazz,,,,"Live blues & jazz every night, open till 5 AM"
p76,Mucki Bar,Nørrebro,bar,,,,
p49,Museum of Copenhagen,Indre By,museum,,,,
p17,Møns Klint,Out of town,trip,,,,
p53,Nordisk Film Cinemas Falconer,Frederiksberg,stage,,,,
p67,OAKBERRY Açaí,Frederiksberg,dessert,,,,
p121,Omar,Nørrebro,restaurant wine,,,,
p116,Operaparken,Christianshavn,sight,,,,Open till 11 PM
p79,Osteria 16,Vesterbro,restaurant,,,,
p85,Otto,Frederiksberg,wine,,,,
p37,Paloma Vermuteria,Nørrebro,wine,,,,
p95,Pizzicato,Frederiksberg,restaurant,,,,
p88,Planetarium,Vesterbro,museum,,,,
p117,Pompette,Nørrebro,wine,,,,
p3,Poolen,Refshaleøen,jazz,,,,
p92,Restaurant Polly,Frederiksberg,restaurant,,,,
p34,Riesen Bar,Vesterbro,bar,,,,
p32,ROOTS Vin Bar & Butik,Østerbro,wine,,,,
p64,Scarpetta,Nørrebro,restaurant,,,,
p128,Slurp Ramen Joint,Indre By,restaurant,,,,"Copenhagen's ramen spot on Nansensgade — go early, queues"
p93,Sound Station,Frederiksberg,shop,,,,
p115,Spidsroden,Nørrebro,grocery wine,,,,Closes 7 PM
p74,Stefans Kiosk,Nørrebro,other,,,,
p6,SUPeR bookstore,Nørrebro,books,,,,
p109,Søhesten,Indre By,bar jazz,,,,Live jazz Wednesdays and Thursdays — arrive early for seats
p20,Søpavillonen,Indre By,club,,,,
p40,The Barking Dog,Nørrebro,bar,,,,
p21,Toldboden,Østerbro,restaurant,,,,
p73,Unnamed pin (The Lakes),Indre By,other,,,,
p52,Unnamed pin (Vesterbro),Vesterbro,other,,,,
p12,Veranda,Nørrebro,wine,,,,
p91,Vesterbro's Original Burger,Vesterbro,street,,,,
p68,Væskebalancen Blågårdsgade,Nørrebro,bar,,,,
p97,Wedo Frederiksberg,Frederiksberg,restaurant,,,,
